recordingId,locationId,frameRate,speedLimit,weekday,startTime,duration (s),numTracks,numVehicles,numVRUs,latLocation,lonLocation,xUtmOrigin,yUtmOrigin,orthoPxToMeter,duration (min),flow(veh/h)
39,2,25,-0.2778,friday,12,1660.72,1133,1133,0,50.7513,6.1477,298089.6,5626462.9,0.1,27.67866667,2456.043162
40,2,25,-0.2778,friday,12,1616.28,1102,1102,0,50.7512,6.1477,298089.6,5626462.9,0.1,26.938,2454.525206
41,2,25,-0.2778,friday,13,1494.08,1153,1153,0,50.7513,6.1476,298089.6,5626462.9,0.1,24.90133333,2778.164489
42,2,25,-0.2778,friday,14,327,236,236,0,50.7512,6.1476,298089.6,5626462.9,0.1,5.45,2598.165138
43,2,25,-0.2778,friday,15,1235,962,962,0,50.7513,6.1477,298089.6,5626462.9,0.1,20.58333333,2804.210526
44,2,25,-0.2778,friday,10,616.04,363,363,0,50.7512,6.1477,298089.6,5626462.9,0.1,10.26733333,2121.290825
45,2,25,-0.2778,friday,11,1457.56,840,840,0,50.7513,6.1476,298089.6,5626462.9,0.1,24.29266667,2074.700184
46,2,25,-0.2778,friday,11,1593.08,1287,1287,0,50.7513,6.1477,298089.6,5626462.9,0.1,26.55133333,2908.328521
47,2,25,-0.2778,friday,15,581.04,477,477,0,50.7512,6.1476,298089.6,5626462.9,0.1,9.684,2955.390335
48,2,25,-0.2778,friday,16,740,638,638,0,50.7513,6.1477,298089.6,5626462.9,0.1,12.33333333,3103.783784
49,2,25,-0.2778,friday,16,1481.68,1216,1216,0,50.7512,6.1476,298089.6,5626462.9,0.1,24.69466667,2954.484099
50,2,25,-0.2778,friday,14,160.04,144,144,0,50.7513,6.1477,298089.6,5626462.9,0.1,2.667333333,3239.190202
51,2,25,-0.2778,friday,14,1027.24,754,754,0,50.7513,6.1477,298089.6,5626462.9,0.1,17.12066667,2642.420466
52,2,25,-0.2778,friday,11,360.52,228,228,0,50.7512,6.1477,298089.6,5626462.9,0.1,6.008666667,2276.711417
